Project Name,Owner,Developer,TCAD ID,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C. of O. Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount,% of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Pacesetter Homes - Section 1A,Carma Easton LLC,Carma Easton LLC,,,,,Very Low,Neither,27,0,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,0,,08/23/2016,,$0.00,,0,0,0,0,0,0,0,27,$0.00,,No,No,No,No,No,Yes,No,No,No,No,
Bradshaw Crossing,Lennar Buffington,Lennar Buffington,735933,10409 Premier Park Street,78747,2,High,1/4 Mile,857,177,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,01/07/2005,,,,0,0,0,0,0,177,0,680,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.139363428791501, -97.771511727782894)"
1211 Inks Avenue,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,192991,1211 Inks Avenue,78702,1,,Neither,2,2,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,04/28/2016,,$0.00,,0,0,0,1,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.265969999999999, -97.727997999999999)"
1910 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,202332,1910 Salina Street,78702,1,,1/2 Mile,1,1,ADU,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,06/29/2016,,$0.00,,0,0,1,0,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.280408999999999, -97.722663999999995)"
2106 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,202248,2106 Chicon Street,78702,1,Moderate,1/4 Mile,1,1,ADU,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,06/29/2016,,$0.00,,0,0,1,0,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.282350999999998, -97.722075000000004)"
Muskin Company (RMMA),Muskin Company,Muskin Company,,4601 Camacho Street,78723,9,Moderate,1/2 Mile,5,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,03/21/2016,,$0.00,,0,0,0,0,0,1,0,4,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.295912999999999, -97.700839999999999)"
David Weekly Section IX (RMMA),David Weekly Homes,David Weekly Homes,,Robert Browning Street,78723,9,,Neither,169,42,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,03/10/2016,,$0.00,,0,0,0,0,0,42,0,127,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,
Centerra Homes of Texas LLC - Goodnight Ranch PUD,"Bradsher Family Trust and MVE Ventures, LTD",Momark Development LLC,,Corrine Lane,78747,2,,Neither,58,23,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,03/07/2016,,$0.00,,0,0,0,0,0,23,0,35,$0.00,,No,No,No,No,No,No,Yes,No,No,No,
Centerra Homes (RMMA),"Centerra Homes of Texas, LLC",Centerra Homes,,2400 Robert Browning Street,78723,9,Moderate,1/4 Mile,10,3,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,02/01/2016,,$0.00,,0,0,0,0,0,3,0,7,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.298850000000002, -97.700574000000003)"
The Aviary,"Equitable Green Group, Inc","Equitable Green Group, Inc",,6019 Hudson Street,78721,1,Very Low,Neither,12,12,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/28/2016,,$0.00,,0,0,0,0,0,12,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.269338999999999, -97.670629000000005)"
Elysium Park,"Saigebrook Development, LLC","Saigebrook Development, LLC",,3400 Oak Creek Drive,78727,7,Very High,Neither,98,83,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/15/2016,,$0.00,,9,0,34,40,0,0,0,15,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.426898999999999, -97.704729999999998)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78724,1,Very Low,1/2 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,06/14/2013,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.300813999999999, -97.640101000000001)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78741,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,06/14/2013,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.230930000000001, -97.702275999999998)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,,3,Very Low,1/2 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,11/28/2016,1,11/28/2017,06/14/2013,11/28/2016,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.220751, -97.736633999999995)"
Austin Habitat for Humanity - SF,Austin Habitat for Humanity,Austin Habitat for Humanity,,Undisclosed,78741,3,Very Low,1/4 Mile,6,6,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,11/25/2015,,$0.00,,0,0,0,0,0,6,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.234559999999998, -97.697049000000007)"
Booth Village Apartments,Salvation Army,Salvation Army,,Radam Lane,,3,,Neither,40,40,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/03/2015,,$0.00,,5,0,35,0,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,
The Rail @ MLK,1800 Alexander LP,1800 Alexander LP,,1800 Alexander Avenue,78702,1,Moderate,1/4 Mile,225,58,Multifamily,RHDA,Rental,Project Certified / Loan Executed,,99,,10/29/2015,,$0.00,,3,3,52,0,0,0,0,167,$2500000.00,1300%,No,No,No,No,No,No,Yes,No,No,No,"(30.279916, -97.709361999999999)"
Aspen West Campus,Aspen Heights,Aspen Heights,203789,1909 Rio Grande Street,78705,9,Very High,1/4 Mile,464,47,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,02/23/2016,,,,0,0,0,47,0,0,0,417,$0.00,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.283588999999999, -97.744782999999998)"
RMMA VII-C Phase I,"Standard Pacific of Texas, L.P.",Standard Pacific of Texas,,4200 Nitchke Street,78723,9,Moderate,1/2 Mile,57,13,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,08/25/2014,,$0.00,,0,0,0,0,0,13,0,44,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.293977999999999, -97.706963999999999)"
GNDC - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,Undisclosed,78702,1,Low,1/4 Mile,2,2,Duplex,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,02/03/2014,,$0.00,,1,0,1,0,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.265453000000001, -97.728499999999997)"
Goodwin Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,02/17/2015,1,02/17/2016,06/10/2013,02/17/2015,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.268934000000002, -97.699432000000002)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78702,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,04/01/2014,1,04/01/2015,09/06/2012,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.270019000000001, -97.726577000000006)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78721,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,06/03/2015,1,06/03/2016,07/23/2012,06/03/2015,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.274999999999999, -97.689042000000001)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78741,3,Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,07/22/2014,1,07/22/2015,07/23/2012,07/22/2014,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.240207999999999, -97.694157000000004)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,03/13/2013,1,03/13/2014,07/23/2012,03/13/2013,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.300716000000001, -97.640624000000003)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78721,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,08/15/2013,1,08/15/2014,07/23/2012,08/15/2013,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.274812000000001, -97.686345000000003)"
The Grove Lofts,"Continental Homes of Texas, LP","Continental Homes of Texas, LP",,2301 Grove Boulevard,78741,3,Low,1/4 Mile,160,64,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,5,,08/08/2005,,$0.00,,0,0,0,0,0,64,0,96,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.223744, -97.708360999999996)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,879836,1012 Linden Street,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,06/28/2015,1,06/28/2016,02/25/2008,06/28/2015,$0.00,,0,0,0,0,0,1,0,0,$0.00,,Yes,No,No,No,No,No,Yes,No,No,No,"(30.264831999999998, -97.705157)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,881759,1014 Linden Street,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,06/28/2015,1,06/28/2016,02/25/2008,06/28/2015,$0.00,,0,0,0,0,0,1,0,0,$0.00,,Yes,No,No,No,No,No,Yes,No,No,No,"(30.264869000000001, -97.705222000000006)"
Cobalt Wilson Street,"Cobalt Partners, Ltd.",Cobalt - Wilson Street,,2606 Wilson Street,78704,3,Very Low,1/4 Mile,62,6,Multifamily,Developer Incentive,Ownership,Affordability Period Expired,05/16/2013,1,05/16/2014,03/26/2007,05/16/2013,$0.00,,0,0,0,0,0,6,0,56,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.237684999999999, -97.758928999999995)"
Colony Park (PUD),Austin Housing Finance Corporation,Austin Housing Finance Corporation,,,,,,Neither,3031,606,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,04/30/2014,,$0.00,,0,0,0,0,0,606,0,2425,$0.00,,No,No,No,No,No,Yes,Yes,No,No,No,
Studio East,Transwestern,Transwestern,,1630 E 6th Street,78702,3,Very Low,1/4 Mile,139,15,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,08/01/2016,,$0.00,,0,0,0,15,0,0,0,124,$0.00,,No,No,No,No,No,No,No,Yes,No,No,"(30.262478999999999, -97.724863999999997)"
Easton Park (Pilot Knob PUD),Carma Easton LLC,Carma Easton LLC,,,,2,Very Low,Neither,3000,300,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/25/2015,,$0.00,,0,0,0,300,0,0,0,2700,$0.00,,No,No,No,No,No,Yes,No,No,No,No,
Austin Gardens,Interlocal Investment,Interlocal Investment,,Hudson St and Harold Court,78721,1,,1/2 Mile,34,4,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,08/11/2016,,$0.00,,0,0,0,0,0,4,0,30,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.272109, -97.677476999999996)"
CalAtlantic Homes- Section 9 (RMMA),CalAtlantic Homes,CalAtlantic Homes,,4201 Berkman Drive,78723,9,Moderate,1/2 Mile,163,60,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,08/15/2016,,$0.00,,0,0,0,0,0,60,0,103,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.295670999999999, -97.700260999999998)"
Easton Park (Pilot Knob PUD),Carma Easton LLC,Carma Easton LLC,,,,2,Very Low,Neither,6417,650,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,12/22/2015,,$0.00,,0,0,0,0,0,650,0,5767,$0.00,,No,No,No,No,No,Yes,No,No,No,No,
Highland Mall Multi-Family,Greystar,Greystar,,5901 Airport Boulevard,78752,4,Very Low,1/4 Mile,309,31,Multifamily,Developer Incentive,Rental,Site Plan Approved / Project Underway,,40,,06/17/2015,,$0.00,,0,0,0,0,0,31,0,278,$0.00,,No,No,No,No,No,No,No,No,No,Yes,"(30.326874, -97.715995000000007)"
Plaza Saltillo,,Endeavor Real Estate Group,,,,,,Neither,0,0,Multifamily,Developer Incentive,Rental,Application Received / Under Review,,0,,,,$0.00,,0,0,0,0,0,0,0,0,$0.00,,No,No,No,No,No,No,No,Yes,No,No,
Cielo - Plaza Saltillo,CC Third and Comal LP,CC Third and Comal LP,,310 Comal Street,78702,3,Very Low,1/4 Mile,17,1,Multifamily,Developer Incentive,Ownership,Application Received / Under Review,,99,,,,$93192.00,,0,0,0,0,0,1,0,16,$0.00,,No,No,No,No,No,No,No,Yes,No,No,"(30.261042, -97.727975000000001)"
900 South 1st Condos,PSW 900 Eastline LP,PSW 900 Eastline LP,,900 S 1st Street,78704,9,Very Low,1/4 Mile,69,7,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,99,,08/31/2016,,$0.00,,0,0,0,0,0,4,3,62,$0.00,,No,No,No,No,No,No,No,No,No,Yes,"(30.254740999999999, -97.752302)"
Cesar Chavez Foundation - Govalle Terrace (ThinkEast PUD),ThinkEast Austin MGT,ThinkEast Austin MGT,192592,1141 Shady Lane,78721,3,Very Low,1/2 Mile,97,78,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,10,,08/11/2016,,$0.00,,4,0,31,43,0,0,0,19,$0.00,,No,No,No,No,No,Yes,Yes,No,No,No,"(30.262599999999999, -97.690776)"
Mark Hart Architecture,,Mark Hart Architecture,837025,1212 E 7th Street,78702,1,Low,1/4 Mile,0,0,Multifamily,Developer Incentive,Rental,Application Received / Under Review,,0,,,,$0.00,,0,0,0,0,0,0,0,0,$0.00,,No,No,No,No,No,No,No,Yes,No,No,"(30.265108000000001, -97.729398000000003)"
Harris Ridge Apt,"The NRP Group, LLC","The NRP Group, LLC",263092,13414 Harrisglenn Drive,78754,7,,Neither,324,324,Multifamily,Developer Incentive,Rental,Application Received / Under Review,,0,,11/07/2016,,$0.00,,0,0,6,318,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.406351000000001, -97.643651000000006)"
South Shore Disctrict Apartments (South Shore PUD),Grayco Town Lake Investment 2007 L.P.,Grayco Partners,,1333 Shore District Drive,78741,4,Low,1/4 Mile,500,13,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,04/16/2014,40,04/16/1954,12/17/2009,04/16/2014,$2038666.00,,0,0,0,13,0,0,0,487,$0.00,,No,No,No,No,No,Yes,No,No,No,No,"(30.243504999999999, -97.727182999999997)"
Heights on Parmer Phase Two,"Pedcor Investments-2016-CLVIII, LP","Pedcor Investments-2016-CLVIII, LP",,1524 Parmer Lane,78753,7,,Neither,80,80,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,08/25/2016,,$0.00,,0,0,0,80,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.389023000000002, -97.651359999999997)"
Broadstone at the Lake,"Alliance Residential Holdings, LLC",Bury & Partners,,422 W Riverside Drive,78704,9,Very Low,1/4 Mile,240,0,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,,0,,,,$23250.60,07/10/2015 12:00:00 AM,0,0,0,0,0,0,0,240,$0.00,,No,No,No,No,No,Yes,No,No,No,No,"(30.259685000000001, -97.748746999999995)"
Estancia Hill Country PUD,SLF III Onion Creek LP,"Estancia Villas, LLC",,12814 IH-35 S,78652,,High,Neither,741,74,Multifamily,Developer Incentive,Rental,Site Plan Approved / Project Underway,,40,,,,$0.00,,0,0,0,74,0,0,0,667,$0.00,,No,No,No,No,No,Yes,No,No,No,No,"(30.115791999999999, -97.806038999999998)"
Estancia Hill Country PUD,SLF III Onion Creek LP,"Estancia Villas, LLC",,12814 IH-35 S,78652,5,High,Neither,1550,155,Single Family,Developer Incentive,Ownership,Site Plan Approved / Project Underway,,40,,,,$0.00,,0,0,0,0,0,155,0,1395,$0.00,,No,No,No,No,No,Yes,No,No,No,No,"(30.115727, -97.805985000000007)"
Highland Homes - Section 1A,Carma Easton LLC,Carma Easton LLC,,,,,Very Low,Neither,56,0,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,0,,08/31/2016,,$0.00,,0,0,0,0,0,0,0,56,$0.00,,No,No,No,No,No,Yes,No,No,No,No,
M/I Homes of Austin - Goodnight Ranch PUD,"Bradsher Family Trust and MVE Ventures, LTD",Momark Development LLC,,8708 Slater Drive,,,,Neither,46,18,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,05/12/2016,,$0.00,,0,0,0,0,0,18,0,28,$0.00,,No,No,No,No,No,No,Yes,No,No,No,
The Villages at Goodnight,"Bradsher Family Trust and MVE Ventures, LTD",Momark Development LLC,,,,,,Neither,312,312,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/12/2016,,$0.00,,0,0,0,312,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,
Goodnight Ranch PUD,"Bradsher Family Trust and MVE Ventures, LTD",Momark Development LLC,,,,,,Neither,3584,1247,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,11/09/2004,,$0.00,,0,0,0,0,0,1247,0,2337,$0.00,,No,No,No,No,No,No,Yes,No,No,No,
Guadalupe-Jeremiah Housing,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,1200 Paul Teresa Saldana Street,,3,Very Low,1/4 Mile,35,35,Single Family,RHDA,Rental,Project Certified / Loan Executed,,0,,,,$0.00,,0,0,35,0,0,0,0,0,$2000000.00,463.38%,No,No,No,No,No,No,No,No,No,No,"(30.269266999999999, -97.703013999999996)"
Westgate Ridge Multifamily,"Songhai Development Company, LLC","Pedcor Investments-2015 CXLVIII, LP",,8700 Westgate Boulevard,78745,,High,1/4 Mile,140,140,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,05/27/2014,,$0.00,,0,0,4,136,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.192696999999999, -97.832657999999995)"
Plyler Resubdivision Home,The Plylers,Guadalupe Neighborhood Development Corporation,783092,1022 E 7th Street,78702,1,Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Cancelled,,1,,05/02/2008,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.265723000000001, -97.730440999999999)"
Sunfield PUD,,"A&M Option 541, LP",839821,1901 Turnersville Road,78610,,Very Low,Neither,1751,175,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,,,$0.00,,0,0,0,175,0,0,0,1576,$0.00,,No,No,No,No,No,Yes,No,No,No,No,"(30.088615000000001, -97.773263999999998)"
GNDC - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,189178,1902 Willow Street,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,04/09/2010,,$0.00,,0,0,0,1,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.256356, -97.724598999999998)"
5006 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,510161,5006 West Wind Trail,,5,Moderate,1/4 Mile,4,3,Single Family,RHDA,Rental,Affordability Period Expired,,0,,,,$0.00,,0,0,3,0,0,0,0,1,$257775.00,201.81%,No,No,No,No,No,No,No,No,No,No,"(30.226519, -97.804519999999997)"
SafePlace 14 Unit Expansion,Safeplace,SafePlace,,Undisclosed,78741,3,Low,1/4 Mile,14,14,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,02/28/2001,20,02/28/2021,,05/01/2001,$0.00,,0,0,14,0,0,0,0,0,$500000.00,253.55%,No,No,No,No,No,No,No,No,No,No,"(30.231370999999999, -97.705841000000007)"
The Aviary,"Equitable Green Group, Inc","Equitable Green Group, Inc",,6909 Hudson Street,78721,1,Very Low,Neither,20,1,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,0,,01/28/2016,,$0.00,,0,0,0,0,0,1,0,19,$0.00,,No,No,No,No,No,No,No,No,No,No,"(30.268961000000001, -97.669933)"
AHFC - SF,Undisclosed,Austin Housing Finance Corporation,,Undisclosed,78721,3,,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,09/21/2016,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.267710000000001, -97.681184999999999)"
Milestone Community Builders,Carma Easton LLC,Carma Easton LLC,,,,,Very Low,Neither,52,0,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,0,,09/19/2016,,$0.00,,0,0,0,0,0,0,0,52,$0.00,,No,No,No,No,No,Yes,No,No,No,No,
"Buffington Homebuilding Group, LTD, DBA Buffingtion Homes",Carma Easton LLC,Carma Easton LLC,,,,2,Very Low,Neither,1,0,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,0,,09/21/2016,,$0.00,,0,0,0,0,0,0,0,1,$0.00,,No,No,No,No,No,Yes,No,No,No,No,
Goodwin Avenue 7-Acre Project,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,,2801 Mary Helen Lopez Street,78702,3,Very Low,1/4 Mile,95,95,Single Family,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,04/21/2010,,$0.00,,0,0,24,48,0,23,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.269285, -97.703002999999995)"
SMART - SF,Manet-Avilleira & Lage,Manet-Avilleira & Lage,,Undisclosed,78723,,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,02/11/2015,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.311426999999998, -97.681441000000007)"
2200 Nueces Street,Capstone Collegiate-Communities,Capstone Collegiate-Communities,,2200 Nueces Street,78705,9,Very High,1/4 Mile,443,44,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,09/23/2016,,$0.00,,0,0,0,44,0,0,0,399,$0.00,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.285401, -97.744187999999994)"
East Avenue Apartments,"East Avenue Town Lake, LLC","East Avenue Town Lake, LLC",,16 N IH 35,78701,9,Low,1/4 Mile,223,7,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,09/23/2016,,$546070.00,,0,0,0,0,0,7,0,216,$0.00,,No,Yes,Yes,No,No,No,No,No,No,No,"(30.252783000000001, -97.736654000000001)"
The Standard at Austin,,Landmark Properties,,715 W 23rd Street,78705,9,,1/2 Mile,952,95,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,10/18/2016,,$0.00,,0,0,0,0,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286992000000001, -97.745828000000003)"
Nightingale at Goodnight Ranch,"Bradsher Family Trust and MVE Ventures, LTD",Momark Development LLC,,Nuckols Crossing Rd and Vertex,78744,,,Neither,174,139,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,,,$0.00,,0,0,0,0,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,
Overture Mueller Apartments,"Catellus Austin, LLC",Catellus Austin LLC,,4818 Berkman Drive,78723,9,Moderate,Neither,201,30,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,50,,09/29/2015,,$0.00,,0,0,0,30,0,0,0,171,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.300699999999999, -97.700429999999997)"
2100 Rio,Scannell Development Company,Scannell Development Company,203657,2100 Rio Grande Street,78705,9,High,1/4 Mile,109,11,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,09/20/2016,,$0.00,,0,0,0,11,0,0,0,98,$0.00,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284272000000001, -97.745293000000004)"
Wildflower Terrace,"Catellus Austin, LLC",Catellus Austin LLC,,3801 Berkman Drive,78723,9,Moderate,1/4 Mile,201,171,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,04/09/2012,99,04/09/2011,02/25/2009,04/27/2012,$0.00,,26,0,60,85,0,0,0,30,$2000000.00,1248.24%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.2909045, -97.698440300000001)"
Aldrich 51,"Catellus Austin, LLC",Catellus Austin LLC,,2604 Aldrich Street,78723,9,Moderate,Neither,240,219,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,,40,,01/15/2013,,$0.00,,15,0,48,156,0,0,0,21,$4000000.00,891.9%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298179999999999, -97.707336999999995)"
Amli at Mueller II,"Catellus Austin, LLC",Catellus Austin LLC,,,,,,Neither,318,48,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,05/21/2015,,$0.00,,0,0,0,48,0,0,0,270,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,
Robert Mueller Municipal Airport (MDA),"Catellus Austin, LLC",Catellus Austin LLC,,,,9,Moderate,Neither,659,0,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,0,,05/18/2006,,$0.00,,0,0,0,0,0,0,0,659,$0.00,,No,No,No,Yes,No,No,Yes,No,No,No,
Juniper at Olive,Austin Housing Finance Corporation,Austin Housing Finance Corporation,,Undisclosed,78702,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,06/29/2015,99,06/29/2014,02/14/2011,,$0.00,,0,0,0,0,0,1,0,0,$0.00,,Yes,No,No,No,No,No,Yes,No,No,No,"(30.270751000000001, -97.731030000000004)"
